knowledge_community,clustering,citation_influence
human,cosine_similarity
human,international_collaboration
recommender_system,logistic_regression
recommender_system,cnci
recommender_system,international_collaboration
eu,business
eu,knowledge_base
accuracy,eu
mapping,equal_odd_baseline
academic_impact,machine_learning
knowledge_community,scientific_collaboration
affordance,overload
overload,economic
open_access_article,division_labor
economic,division_labor
ego_network,economic
knowledge_community,economic
deep_learning,clustering
research_diversity,clustering
research_diversity,machine_learning
research_trend,machine_learning
important_citation,research_trend
preprint,important_citation
truth,alternative_metric
alternative_metric,platform
preprint,platform
preprint,non_cover_paper
non_cover_paper,attention
equal_odd_baseline,attention
equal_odd_baseline,citation_network
equal_odd_baseline,spam
capture,work_paper
case_study,library_information_science
capture,case_study
capture,network_analysis
decision,peer_review
rpys,journal_ranking
rpys,peer_review
co_citation_analysis,peer_review
uncertainty,social_commerce_community
uncertainty,fine_tuning
charitable_crowdfunding,evolution
uncertainty,charitable_crowdfunding
uncertainty,information_system
reliability,information_system
reliability,visualization
co_citation_analysis,reliability
co_citation_analysis,text_mining
text_mining,bert
bibliographic_database,query_suggestion
social_medium,diverse_book
resistance,reference
research_impact,reference
end,latin_america
music,sentiment_analysis
image_retrieval,journal_impact_factor
international,image_retrieval
international,music
information_overload,music
information_overload,productivity
user_experience,research_practice
research_practice,culture
culture,rebel
query_expansion,rebel
word_embed,citation_analysis
word_embed,query_expansion
citation_count,mediate_information_interruption
research_topic,citation_count
research_topic,stakeholder_engagement
healthcare,semantic_similarity
linguistics,healthcare
linguistics,context_aware
scientometric,context_aware
h_index,scientometric
scientometric,funding
ontology,qualis
ontology,funding
domain_adaptation,evaluation
domain_adaptation,google_scholar
impact_assessment,information_science
science,dependency
creativity,open_access_book
retraction,literature
literature,generation
party_patient,literature
technology_evolution_path,metric
metric,china
content_analysis,painting
retract_publication,painting
retract_publication,technology_opportunity
relation_extraction,precision
public_library,entropy
recommendation_system,reviewer
ranking,recommendation_system
recommendation_system,prestige
impact_evaluation,prestige
impact_evaluation,output
output,diversity
entropy,diversity
name,entropy
promotion,transparency
management,benchmarke
university_ranking,benchmarke
basic_research,education
social_science_humanity,quantitative_metric
computer_science,digital_content
academic,interdisciplinary_collaboration
co_clustering,movie_revenue
co_clustering,co_authorship
quantity,domestic
graph,growth
world,altmetric_score
co_production,network
network,infrastructure
transformative_computing,similarity
interdisciplinarity,indicator
indicator,lis
communication_value,digital_library
patent,bibliometric_analysis
bibliometric_analysis,altmetric
contribution,consumer_engagement
donation_allocation,open_access
word,institution
institution,cluster
relatedness,informetric
lexicon,whatsapp
