image,review_paper,control_vocabulary,nobel_prize,interdisciplinarity,cluster,big_datum,ambiguity,innovative_use,credibility_evaluation,industry,em_index,european_university,social,risk,knowledge_organization,disinformation,scientific_team,social_capital,plos,trust,exploratory_search,computer_science,scientific_output,bibliometric_datum,high_education,cross_efficiency,scientific_relatedness,metadata_schema,scientific_collaboration,map_science,gatekeepe,knowledge_share,knowledge_transfer,academic_paper,air_pollution,capital,organization,twitter,microblogs,novelty,management,time_series,google_scholar,spillover_effect,scholar,academic_journal,elite_set,discrimination,journal_article,search_query,guidance,tweet,ranking,visibility,prov,climate_change_research,nih,medical_research,research_evaluation,saudi_arabia,politic,patent,indicator,patent_citation_analysis,link_prediction,datum_citation,usa,bibliometric_analysis,overlay_map,neuroscience,datum_set,self_efficacy,prediction,germany,knowledge_chunk,human_capital,ensemble_pruning,knowledge_network,transport,book,integration,mooc,linguistics,musical_medium,videogame,library_information_science,research_excellence,categorization,serendipity,synthetic_biology,researchgate,assignment,sleep_beauty,knowledge_diffusion,cancer,invention,patent_value,economic,author_profiling,digital_humanity,metadata,international_collaboration,intrinsic_diversity,n_gram,impact_factor,disciplinarity,semantic_distance,social_network_analysis,cuckoo_search,education,ghana,average_jif_percentile,discipline,r_package,science,workplace,information_service,co_authorship_network,vosviewer,heuristic,library,topic_modeling,quantity,p,chinese_scholar,information_use,large_scale,sentiment_analysis,productivity,byline,e,security,game,lean_healthcare,similarity,number_citation,conference,construction,field_study,museum,stability,dream,tactic,orcid,south_africa,collaboration_network,semantic_indexing,findings,decision,query_expansion,news_consumption,constraint,overconfidence,information_overload,biology,semiotic,credibility,psychology,summarization,wikipedia,scientific_productivity,duration,development,behaviour,confidence_interval,wordnet,distribution,interdisciplinary,university_ranking,problem,ph.d._training,semantic_web,co_author_network,collaboration,university,technology_convergence,scientific_impact,fractal_dimension,world_war_ii,university_research_performance,academic_age,evaluation,recommender_system,scientific_quality,decision_make,literature_review,power_law,portfolio,core_technological_competency,digital_curation,paradigm,recommendation_system,new_technology,mobility,investment,proceeding,firm_size,citation_impact,citation_index,hierarchy,information_search,patent_transaction_network,content_analysis,regression,climate_change,openness_novelty,latin_america,pagerank,calculation,network,cross_disciplinary,linked_data,astronomy,location_extraction,woman,placement,author_disambiguation,correlation_analysis,classifier,context,history,co,music,environment,catalogue,brazil,scientific_research,co_authorship,sustainable_development,student,citation_network,interdisciplinary_research,query_translation,citation_practice,spin_off,biomedical,reference_publication_year_spectroscopy,language,conference_paper,web_science,china,term_frequency,information_resource,music_classification,innovation_diffusion,search,evolutionary_pattern,scientometric,forecast,price_index,scenario,inequality,algorithm,empirical_study,leisure,degree_centrality,national,behavioral_finance,percentile,diabetes,knowledge_production,university_industry_collaboration,knowledge_flow,reward_system,bibliometric_indicator,wiki,patent_validity,citation_advantage,patent_family,collaborative_tagging,methodology,information_practice,educational_research,rdf,innovation,digital_scientific_innovation,evergreen,highly_cite_paper,nation,information_concept,sciences,evolution,distance_measure,research_gap,statistical_analysis,co_word,reference,scientific_publication,authorship,science_strategy,ensemble,efficiency,rpys,negation,award,saudi_dialect,exploration,research_performance,text_analysis,technological_innovation,datacite,document_frequency,solidarity_economy,confirmation_bias,paper_citation,dynamic,disciplinary_difference,documentation,health_care,research_funding,triple_helix,search_behaviour,youth,reliability,maturity_model,segmentation,understanding,theory,newcomer,scopus,peer_review,nobel_laureate,comparison,nursing,future_research,academic,book_review,retraction,retract_article,chinese_lis,robustness,knowledge_base,school,extent,cloud_computing,awareness,disability,metric,shuishu_archive,scientific_journal,economist,information_retrieval,research_output,societal_impact,co_citation_analysis,neoliberalism,mode_network,size,funding_source,poland,text_classification,microblog,domestic,convergence,database,facebook,attention,betweenness_centrality,computational,moderator,knowledge_creation,un,information_seek,europe,scientometric_analysis,academic_publishing,topic_extraction,open_access,event_model,css,social_network,healthcare,read,graph,physics,trendmd,visualization,search_trail,develop_country,publish_perish,scale_invariant,lexicon,research_collaboration,empirical_analysis,influential,tournament,expert_base_evaluation,structural_analysis,user_study,similarity_measure,feature_selection,digital_library,citespace,military_technology,child,mathematics,normalization,entropy,cell_line,spain,controversy,disciplinary_profile,lorenz_curve,cultural_translation_problem,altmetric,electrochemical_energy_storage,uspto,publication_subsidy,information_literacy,assessment,collaboration_pattern,social_work,software,scientific_production,cpc,misinformation,physics_journal,community,spammer,hashtag,text_genre,mission_activity,standard,bibliometric_study,academia,social_medium,spam,machine_learning,communication,nanotechnology,mendeley_reader,user_category,sentiment_lexicon,mendeley,feature_set,scientific_linkage,hit,systematic_review,korea,cluster_analysis,wechat,neurosurgery,taxonomy,collaborative_filtering,collection,sentiment,bias,attitude,platform,bibliometric,copyright,social_science,italy,thailand,roman_urdu,relevance_criterion,foresight,relation,detection,information_science,text_mining,chemistry,polarity,cross_city,medicine,mining,web,scientific_discipline,citation_count,netherlands,complex_system,medicinal_plant,excellence,russia,technology,personality,africa,information_system,h_index,open_datum,humanity,funding,topic_model,democracy,centrality,mobile_ecosystem,citation_distribution,energy,diversity,informetric,technology_licensing,concept,rank,publication_productivity,system_biology,quality_metric,acknowledgement,feature_engineering,conceptual_analysis
weibo,extent
health_care,prince
citation_analysis,hierarchy
case_study,submission
knowledge_diffusion,submission
p,count_method
confirmation_bias,co_word_network
gold_oa,digital_humanity
portfolio,co_evolution
datum_use,vitality_performance
datum_use,query_expansion
memory,document_frequency
document_frequency,number_author
cancer,self_archive
scenario,tone
term_frequency,network_analysis
reject_manuscript,multiple_affiliation
news_consumption,multiple_affiliation
warrant,time_series
information_use,scientific_field
path_dependent,cpc
capital,information_behaviour
patent_citation_analysis,epistemic_warrant
educational_research,gender_gap
mendeley_reader,delay
provenance_description,scholar
quantity,pi_index
mobile_ecosystem,negative_class_information
knowledge_flow,research_management
knowledge_flow,multilingual
event_detection,user_category
sub_story_detection,co_authorship
behaviour,biotechnology
research_impact,co_word
construction,support_vector_machine
research_output,co_citation
co_publication,senti_lexicon
co_publication,workplace
chatbot,medicinal_plant
h_index,opinion_mining
information_source,wordnet
intellectual_contribution,european_university
journal_impact_factor,feature_selection
bias,direct_citation
hit,pharmacy
citnetexplorer,hit
review_paper,preference_diversity
multiply,intrinsic_diversity
ipcc,library
semantic,scientometric
feature_set,mathematic
international,patent_citation_analysis
fractal_dimension,lis_school
neural_network,comparative_analysis
neural_network,mathematics
revolution,social
content_analysis,music_descriptor
intellectual_base,shuishu_archive
tattoo,academic_age
student,datum_friction
markov_chain,student
text_classification,special_issue
metadata_schema,scholarly_impact
educational_theory,infrastructure
educational_theory,css
artificial_intelligence,spammer
emerge_technology,scientific_quality
clarivate_analytics,empirical_study
decision_make,reputation
benford_law,scientific_impact
scientific_impact,polarity_classification
r_package,city
academic_genealogy,plos
network_structure,disciplinary_difference
dynamic,collection_selection
factor_analysis,university_research_performance
relatedness,wikipedia
scholarship,information_management
scholarship,europe
text_analysis,innovation_system
understanding,labor
dominance,copyright
publisher,business_model
presentation_slide,business_model
reliability,presentation_slide
technology_spillover,relation
collection,online_community
strategic_management,research_topic
pubmed,internationalization
