domain,number_author,refugee,strategic_planner,number_paper,big_datum,rate,visual_vocabulary,effectiveness,name_entity_recognition,em_index,nature,project,resource,dblp,disambiguation,image_annotation,cheung_kong_scholars,trust,exploratory_search,computer_science,article_importance,information_interaction,scientific_output,high_education,journal_impact_factor,transdisciplinary,plote_index,ghost_city,scientific_collaboration,preposition,negative_binomial,information_retrieval_ir,twitter,diversity_science,novelty,citation_analysis,google_scholar,altmetric.com,academic_journal,literature_practice,crada,scholar,research_university,journal_article,tweet,future,knowledge_basis,ranking,turkish,canada,research_agenda,philosophy,research_evaluation,india,discourse,indicator,patent,lognormal_distribution,mother,scholarly_communication,impact_indicator,crowdsourcing_project,usa,bibliometric_analysis,societal_need,s_dissertation,characteristic_score_scale,international_development,prediction,microsoft_academic,germany,folder,structural_hole,health_research,cite_reference,trend,old_adult,systematic,adoption,knowledge_network,book,integration,science_policy,scientometrics,library_information_science,researchgate,sleep_beauty,misconduct,textbook,definition,dentistry,anime,systematic_literature_review,eugene_garfield,competitiveness,economic,public_sphere,firm,digital_humanity,balance,publication_output,international,metadata,international_collaboration,impact_factor,faculty,social_network_analysis,education,input,foreign,literature,science,workplace,multidisciplinarity,lifeworld,cooperation,research_area,library,topic_modeling,multi_stakeholder,springer,quantity,sentiment_analysis,productivity,pioneer,appropriability,circular_economy,socially_important_location,subject_category,united_kingdom,academic_science,social_science_humanity,language_distribution,quality_control,number_citation,gender_perspective,conference,stability,museum,turnover,collaboration_network,scholarship,analytic_philosophy,barrier,institutional_repository,wrong_label,turkish_language,phenomenology,adaptation,semiotic,empirical,psychology,scientific_literature,government,wikipedia,scientific_productivity,research_abstract,usage_metric,rating_prediction,recommendation,encyclical,art,semantic_analysis,scientist,acousmatic_music,user_experience,early_citation,interdisciplinary,university_ranking,support_vector_machine,world,self_citation,problem,research_policy,citation_rate,collaboration,co_author_network,scientific_impact,task,university,access,google,question_answer,evaluation,digital_divide,work_progress,recommender_system,sweden,scientific_quality,prince,prisoner,cultural_heritage,majority_opinion,power_law,scholarly_impact,historical_scientific_datum,paradigm,health_information,academic_field,plagiarism,risk_analysis,pro_poor,scientometric_indicator,building,mobility,responsibility,citation_impact,aggregator,research_impact,readability,content_analysis,regression,blog,latin_america,bug_report,site,group,network,woman,crm,benefit,alignment,context,portugal,history,case_study,music,research_trend,semantic_representation,lda,phd,mobile_internet,co_authorship,maker,plagiarism_detection,citation_network,student,interdisciplinary_research,latent_dirichlet_allocation,science_system,research_productivity,language,web_science,internationality,china,tag,cite_author,pagerank_algorithm,characterization,search,e_learning,scientometric,knowledge_meme,academic_community,algorithm,practical_authorship,rg_score,degree_centrality,space,research_design,ambidextrous_behavior,research_institute,outcome,structure,format,information_professional,editorial_delay,bibliometric_indicator,policy,preprint_archive,publication_pattern,chi,highly_cite_document,methodology,tf_idf,information_practice,innovation,technological_domain,evolution,early_career,intelligence,social_sciences,stakeholder,specialization,question_answering,scientific_publication,semi_structured_interview,authorship,growth_rate,oncology_research,efficiency,sociology,award,attribution,experience,iot,research_performance,location,usage,matrix_factorization,cnn,value_creation,implementation,documentation,derivative_analysis,evaluation_measure,uk,ref,research_funding,message,domain_knowledge,standardization,citation_context,international_research_collaboration,theory,scopus,peer_review,ontology,eu_member_state,academic,crowdsourcing,book_review,economics,neural_embedding,uncertainty,retraction,entrepreneurship,bibliometric_method,research_development,academic_event,personal_datum,chunk,crexplorer,information_need,organisational_insider,information_retrieval,publisher,research_output,societal_impact,potential_user,co_citation_analysis,mexican_inventor,interdisciplinary_topic,medical_record,poland,rehabilitation,recommendation_method,text_classification,language_model,venue,music_information,big_data,database,absorptive_capacity,scientific_tweet,convolutional,collaborative_network,knowledge_creation,europe,scientific_communication,inter_rater_reliability,energy_efficiency,opinion_detection,reference_density,printing,social_network,double_rank_analysis,read,academic_institution,research_quality,intellectual_property,salary,subjectivity,turkey,research_topic,citable_item,european_union,open_access_journal,distance,money,fix_income_security,normalization,transparency,tenure,product,fake_news,altmetric,uspto,relatedness,visual_stimulus,keyphrase_extraction,assessment,collaboration_pattern,search_task,information_foraging,stm,coverage,datum_quality,sociologist,semantic,syrian,community,co_citation,bug_localization,multidisciplinary,standard,bibliometric_study,social_medium,machine_learning,webometric,communication,nanotechnology,health,quantitative_analysis,cognitive_authority,semantic_similarity,rheumatology,keyword_analysis,sentiment_lexicon,mendeley,diversification,highly_cite,user_query,systematic_review,cluster_analysis,taxonomy,collaborative_filtering,wos,bias,scientometric_review,local_history,year_base,conceptualization,journal_ranking,bibliometric,social_science,reputation,outlier,italy,cite_text_span,sjr,nepal,information_technology,technology_transfer,relation,information_science,rule,text_mining,multi_label_classification,scientific_discipline,netherlands,citation_count,output,excellence,russia,scientific_field,technology,ensure,africa,information_system,topic_evolution,h_index,humanity,funding,validity,democracy,centrality,citation_distribution,diversity,repository,rank,dimension,transparency_movement,property,life_cycle,logistic_regression
open_access,absorptive_capacity
bibliographic_database,community
network_analysis,rheumatology
highly_cite,interdisciplinary_relation
performer,researchgate
theory,feature_selection
cooperation,socioeconomic
family_business,cultural_heritage
sna,cultural_heritage
stock_message_board,research_funding
knowledge_basis,predatory_journal
women,collaborative_network
research_activity_level,woman
stability,everyday_life
likelihood,stability
user_characteristic,technology_transfer
technology_transfer,hepatitis
research_group,visual_stimulus
trend,perform_musician
trend,retract_publication
product,relation_extraction
case_study,online_attention
editorial_board,political_science
political_science,impact_factor
co_authorship_network,author_disambiguation
co_authorship_network,high_education
bibliometric_indicator,rpys
vosviewer,recommendation
readability,regression_analysis
interdisciplinarity,altmetric.com
cite_text_span,innovation_performance
innovation_system,cite_text_span
ssh,government
reader,coverage
ecology,research_trend
computer,document_type
syrian,computer
institutional_repository,supply_chain
behaviour,context
science_technology,journal_ranking
authorship,question_classification
economic,candidate_entity_pair
plumx,economic
word_embed,sentiment_categorisation
sentiment_categorisation,library_information_science
research_portfolio,cite_paper
scientometric_review,research_portfolio
topic_evolution,research_assessment
prominence,alignment
apc,alignment
project,biodiversity
career,disciplinary_difference
project,career
acknowledgment,project
knowledge_flow,google_scholar_citation
topic_modeling,knowledge_flow
australian_university,digital_library
academic,digital_library
psychology,reviewer_recommendation
publication_citation,develop_country
publication_citation,prisoner
map_science,message
nepal,visualization
usa,research_collaboration
credibility,disciplinary_profile
group,disciplinary_profile
web_science,self
work_task_type,social_medium
preposition,cold_start
philosophy,biotechnology
community_detection,author_reference
stem,author_reference
literature_review,stem
highly_cite_paper,stem
stem,internationalisation
internationalisation,public_sphere
garfield,blog
academic_rank,database
neural_network,citation_context
journal_impact,china
comparative_analysis,text_mining
accuracy,scientific_collaboration_network
accuracy,text_mining
nonnegative_matrix_factorization,rg_score
review_paper,research_work
review_paper,rheumatology
derivative_analysis,nist
derivative_analysis,link_reference
scientific_impact,pagerank
european_union,citespace
dispersion,microsoft_academic
information_security,brazil
information_seek,emotion
