collaborative_creativity,anesthesia_department,interdisciplinarity,technological_competence,cluster,isi,man,degree_collaboration,people,industry,american_university,police,social,qualitative_research,co_author,risk,program_committee,knowledge_organization,disambiguation,social_capital,unrelated_technological_diversification,trust,science_education,adolescent,behavior,scientific_paper,scientific_output,governance,high_education,journal_impact_factor,multidimensional_prestige,crisis_information,disciplinary,priority,multi_author_paper,scientific_collaboration,erc,prize,knowledge_transfer,sense,link_analysis,multidimensional_scaling,twitter,research_organization,citation_analysis,management,time_series,google_scholar,information_production,review_assignment,academic_productivity,usability,journal_article,publishing,knowledge_basis,legal,ranking,anesthesiology,practice_theory,material_science,skill,canada,web_link,research_evaluation,saudi_arabia,india,patent,patent_analysis,stochastic_h_index,indicator,citedness,library_science,taiwan,bibliometric_analysis,bibliographic_record,medium,prediction,germany,overlay,hirsch_core,motivation,trend,bric_country,awardee,adoption,user_interest,book,integration,technology_diffusion,science_policy,arwu,library_information_science,subdiscipline,sleep_beauty,knowledge_diffusion,definition,competitiveness,relevance_assessment,economic,statistical_significance_test,core_document,web_search_engine,query_processing,publication_output,international_collaboration,information_research,complex_network,social_network_analysis,bing,education,graphical_model,scope,science,co_authorship_network,citation_indicator,field_normalize_citation_rate,cooperation,sci,research_area,digital_information_service,network_core,citation_behavior,green,quantity,judgment,times,large_scale,productivity,bipolar_query,oxidative_stress,palliative_care,picture_book,e,singularity,united_kingdom,authority,similarity,research_assessment,rank_journal,france,corporate_growth,competency,knowledge_management,success,performance_indicator,web_visibility,g_index,south_africa,search_process,precision_recall,collaboration_network,learn,fractional_counting,collaborative,journal_paper,emerge_topic,online,semiotic,credibility,organizational_crisis,data,earthquake,government,scientific_productivity,wikipedia,research_project,development,fusion,paper_patent,behaviour,electroacoustic_mixed_music,gender_bias,scientist,mode,reader,citation_performance,business,multilevel,world,interview,social_bookmarking,self_citation,conceptual_model,subject_area,sci_literature,collaboration,university,task,evaluation_activity,innovative,sao,question_answer,evaluation,sentence_retrieval,decision_make,certification,literature_review,citation_window,power_law,software_engineering,managerial_decree,research_field,f_score,law,united_states,weighting,recommendation_system,oral_document,social_tagging,scientometric_indicator,grant,exergy,chinese_medicine,investment,citation_impact,xml,citation_index,query_log,job,content_analysis,blog,network,woman,communication_network,author_disambiguation,classifier,politician,context,research_center,preferential_attachment,attractive,classification_scheme,case_study,alignment,co,hype,environment,catalogue,brazil,science_technology,sentence_clustering,lda,research_trend,co_authorship,doctoral_s,reference_list,student,citation_network,colombian_university,research_productivity,musical,language,document_summarization,web_science,tag,china,bibliographic_coupling,intellectual_structure,practice_approach,repec,search,scientometric,algorithm,periodical,search_tactic,mission,empirical_study,department,order,mathematic,citation_acceleration,individual,publication_index,library_system,percentile,structure,environmental_sustainability,bibliometric_measure,chinese_american,knowledge_production,feedback,knowledge_flow,policy,bibliometric_indicator,research_front,clustering,publication_pattern,methodology,information_practice,weighted_network,innovation,diffusion_score,chinese_herb,ssci,highly_cite_paper,mapping,search_engine,scientific_information,success_index,scalar,war,internet,social_sciences,reference,clusterhead,authorship,efficiency,sociology,competition,east_asia,demand,research_performance,funding_agency,social_worker,condorcet,technological_innovation,small_world,geography,scholarly_journal,workflow,dynamic,implementation,text_recall,iran,research_funding,h_core,triple_helix,family_therapy,standardization,aquaculture,virtual_world,theory,scopus,comparison,peer_review,patent_classification,ontology,snip,graduate_student,web_citation,uncertainty,information_access,disaster,uncitedness,citeulike,research_development,evaluation_criterion,open_source,scientific_journal,solar_power,norway,growth,stroke,information_retrieval,publisher,research_output,asia,co_citation_analysis,family,comparative_analysis,information_organization,differentor,cis,institution,digital_archive,facebook,technological_opportunity,attention,shanghai,url_citation,instrument,information_seek,image_retrieval,non_patent_reference,open_access,indexing,social_network,globalization,read,graph,visualization,develop_country,research_collaboration,centroid,criticism,ophthalmology,subjectivity,statistic,user_study,similarity_measure,weighted_consensus,digital_library,feature_selection,information_seeking,child,diffusion,entropy,information_infrastructure,star_scientist,neglected_tropical_zoonoses,document_evaluation,gender_study,information_literacy,assessment,collaboration_pattern,thomson_reuters,public_library,scientific_production,internationalization,community,co_citation,patient,standard,bibliometric_study,journal_informetrics,social_medium,proximity,webometric,communication,nanotechnology,quantitative_analysis,qualitative_analysis,hirsch_index,patent_citation,test_collection,representation,diversification,automatic_classification,naive_bayes,korea,taxonomy,collaborative_filtering,conceptualization,precision,bibliometric,journal_ranking,social_tag,pathogenic_microorganism,information_exchange,social_science,italy,sjr,relation,detection,information_science,text_mining,chemistry,medicine,web,propensity,comparative_study,russia,trec,technology,spanish_university,information_system,h_index,humanity,funding,topic_model,micro_blog,citation_distribution,diversity,information_management,manuscript,repository,quikscan,rank
cache,mission
doctoral_student,information_resource
scholarly_communication,information_resource
information_resource,china
research_publication,citation_impact
daegu,electroacoustic_mixed_music
program_committee,machine_learning
quantity,historical_archive
impact_factor,author_disambiguation
relevance_judgment,information_science
environment,readability
search_task,url_citation
history,multidimensional_scaling_mds
history,research_collaboration
support_vector_machine,expectation
expectation,information_exchange
web_science,computer_vision
paper_patent,knowledge_spillover
information_need,text_recall
short_text,text_recall
fusion,award
diffusion_score,librarian
public_research_institute,citation_performance
workaround,information_system
jcr,scientific_communication
jcr,power_law
objectivity,material_science
cancer,rank
research_doctorate,italy
web_search,data
inverted_index,scientific_production
large_scale,language_use
high_education,acceptance
case_study,metadata
information_behavior,grant
indexing,frbr
quality_evaluation,learn
intellectual_structure,serendipity
citation_distribution,individual_author
document_classification,information_infrastructure
spain,f_score
centrality,information_behaviour
centrality,unrelated_technological_diversification
information_policy,scope
research_trend,demographic
video,technology_diffusion
artificial_intelligence,algorithm
ir_system,woman
norway,scientific_literature
technology_transfer,self_citation
technological_competence,innovation_performance
firm_performance,technological_competence
peer_evaluation,phi
peer_evaluation,trend
citation_genetic_genealogy,knowledge_organization
assessment,xml_retrieval
bibliometric_method,software_engineering
economic,citation_count
cis,pagerank
alphabetical_authorship,taiwan
time_series,mixed_method
indicator,citation_pattern
indicator,informetric
hierarchy,query_log
japan,success
information_use,textual_feature
textual_feature,funding
weighted_consensus,social_sciences_humanity
disaster,frbroo
palliative_care,disciplinary_structure
uncertainty,benchmark
man,fuzzy
stata,american_university
computer_science,people
patient,sociology_science
innovation_policy,task
chinese_university,graphical_model
scalability,patent_citation
normalization,online
tweet,core_document
graphene,bibliometric_indicator
biology,taxonomy
academic_research,productivity
diffusion_model,productivity
isi,garfield
cite_article,solar_power
mobile_device,acupuncture
anesthesia_department,acupuncture
